,name
SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
SP.HOU.FEMA.ZS,Female headed households (% of households with a female head)
SP.DYN.WFRT,Wanted fertility rate (births per woman)
SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)"
SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)"
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)"
SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)"
SP.DYN.CONU.ZS,"Contraceptive prevalence, any methods (% of women ages 15-49)"
SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)"
SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)"
SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)"
SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)"
SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
SL.TLF.TOTL.FE.ZS,"Labor force, female (% of total labor force)"
SL.TLF.PART.MA.ZS,"Part time employment, male (% of total male employment)"
SL.TLF.PART.FE.ZS,"Part time employment, female (% of total female employment)"
SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
SL.TLF.0714.WK.MA.ZS,"Children in employment, work only, male (% of male children in employment, ages 7-14)"
SL.TLF.0714.WK.FE.ZS,"Children in employment, work only, female (% of female children in employment, ages 7-14)"
SL.TLF.0714.SW.MA.ZS,"Children in employment, study and work, male (% of male children in employment, ages 7-14)"
SL.TLF.0714.SW.FE.ZS,"Children in employment, study and work, female (% of female children in employment, ages 7-14)"
SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)"
SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)"
SL.SRV.EMPL.MA.ZS,"Employment in services, male (% of male employment) (modeled ILO estimate)"
SL.SRV.EMPL.FE.ZS,"Employment in services, female (% of female employment) (modeled ILO estimate)"
SL.SRV.0714.MA.ZS,"Child employment in services, male (% of male economically active children ages 7-14)"
SL.SRV.0714.FE.ZS,"Child employment in services, female (% of female economically active children ages 7-14)"
SL.MNF.0714.MA.ZS,"Child employment in manufacturing, male (% of male economically active children ages 7-14)"
SL.MNF.0714.FE.ZS,"Child employment in manufacturing, female (% of female economically active children ages 7-14)"
SL.IND.EMPL.MA.ZS,"Employment in industry, male (% of male employment) (modeled ILO estimate)"
SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)"
SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
SL.EMP.WORK.MA.ZS,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"
SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
SL.EMP.VULN.MA.ZS,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
SL.EMP.VULN.FE.ZS,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"
SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
SL.EMP.TOTL.SP.FE.ZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)"
SL.EMP.SELF.FE.ZS,"Self-employed, female (% of female employment) (modeled ILO estimate)"
SL.EMP.MPYR.MA.ZS,"Employers, male (% of male employment) (modeled ILO estimate)"
SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)"
SL.EMP.1524.SP.MA.ZS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
